,Brand,Model,Variant,Manufacturing_year,Driven_kilometers,Fuel,number_of_owners,location,Price
0,Maruti,Eeco,5 Seater AC BSIV,2019,"14,161 Kms",Petrol,1st Owner,Ahmedabad,"₹ 4,48,500"
1,Maruti,Eeco,5 Seater AC,2020,"17,116 Kms",Petrol,1st Owner,Ahmedabad,"₹ 4,74,500"
2,Maruti,S-Presso,VXI,2019,"24,230 Kms",Petrol,1st Owner,Ahmedabad,"₹ 4,15,500"
3,Maruti,Eeco,5 Seater AC,2012,"57,341 Kms",Petrol,1st Owner,Ahmedabad,"₹ 2,73,500"
4,Maruti,Baleno,1.2 Delta,2016,"51,069 Kms",Petrol,1st Owner,Ahmedabad,"₹ 5,39,000"
5,Maruti,Wagon,VXI,2014,"42,381 Kms",Petrol,1st Owner,Ahmedabad,"₹ 3,61,000"
6,Maruti,Baleno,Alpha,2017,"49,072 Kms",Petrol,1st Owner,Ahmedabad,"₹ 6,32,500"
7,Nissan,Terrano,XL Plus 85 PS,2016,"74,431 Kms",Diesel,2nd Owner,Ahmedabad,"₹ 4,70,500"
8,Maruti,Wagon,VXI BS IV,2018,"23,197 Kms",Petrol,1st Owner,Ahmedabad,"₹ 4,41,500"
9,Maruti,Wagon,VXI,2014,"131,125 Kms",Petrol,1st Owner,Ahmedabad,"₹ 3,09,500"
10,Maruti,Wagon,VXI Plus,2017,"43,031 Kms",Petrol,1st Owner,Ahmedabad,"₹ 4,08,500"
11,Maruti,Wagon,LXI BS IV,2013,"85,416 Kms",Petrol,2nd Owner,Ahmedabad,"₹ 3,11,000"
12,Maruti,Swift,VXI 1.2,2019,"11,935 Kms",Petrol,1st Owner,Ahmedabad,"₹ 6,91,000"
13,Renault,KWID,RXT 02 Anniversary Edition,2018,"34,000 kms",Petrol,First Owner,Ahmedabad,3.8 Lakh*
14,Honda,Brio,S MT,2014,"52,000 kms",Petrol,First Owner,Ahmedabad,3.8 Lakh*
15,Hyundai,i20,Sportz 1.4 CRDi,2015,"81,000 kms",Diesel,First Owner,Ahmedabad,5.6 Lakh*
16,Hyundai,Xcent,1.1 CRDi S,2017,"64,000 kms",Diesel,First Owner,Ahmedabad,5.35 Lakh*
17,Honda,Amaze,S i-Dtech,2014,"70,000 kms",Diesel,First Owner,Ahmedabad,4.05 Lakh*
18,Volkswagen,Jetta,2.0 TDI Trendline,2011,"69,000 kms",Diesel,First Owner,Ahmedabad,2.95 Lakh*
19,Maruti,Alto,800 VXI Optional,2017,"25,000 kms",Petrol,First Owner,Ahmedabad,2.7 Lakh*
