,Brand,Model,Variant,Manufacturing_year,Driven_kilometers,Fuel,number_of_owners,location,Price
0,Maruti,Wagon,VXI,2016,"20,815 Kms",Petrol,1st Owner,Banglore,"₹ 4,69,000"
1,Maruti,Ignis,1.2 Delta BSIV,2017,"42,206 Kms",Petrol,1st Owner,Banglore,"₹ 5,32,000"
2,Maruti,Alto,LXi BSIII,2010,"60,998 Kms",Petrol,1st Owner,Banglore,"₹ 2,29,500"
3,Hyundai,i10,Sportz,2008,"93,398 Kms",Petrol,1st Owner,Banglore,"₹ 2,65,500"
4,Hyundai,Grand,1.2 Kappa Sportz BSIV,2019,"9,369 Kms",Petrol,1st Owner,Banglore,"₹ 6,19,000"
5,Honda,Brio,1.2 E MT,2016,"43,771 Kms",Petrol,1st Owner,Banglore,"₹ 4,15,500"
6,Hyundai,i10,Sportz,2014,"46,000 Kms",Petrol,2nd Owner,Banglore,"₹ 4,47,500"
7,Maruti,Alto,VXI AMT,2014,"65,385 Kms",Petrol,2nd Owner,Banglore,"₹ 3,12,000"
8,Maruti,Eeco,5 Seater AC,2019,"30,661 Kms",Petrol,1st Owner,Banglore,"₹ 4,44,000"
9,Hyundai,i10,Magna 1.1L,2012,"30,858 Kms",Petrol,1st Owner,Banglore,"₹ 3,44,000"
10,Honda,Brio,1.2 VX AT,2013,"84,561 Kms",Petrol,1st Owner,Banglore,"₹ 4,26,010"
11,Maruti,Swift,ZDI,2014,"115,848 Kms",Diesel,1st Owner,Banglore,"₹ 5,15,000"
12,Maruti,Swift,VXi,2009,"86,950 Kms",Petrol,2nd Owner,Banglore,"₹ 3,29,000"
13,Maruti,Celerio,VXI AT,2015,"17,042 Kms",Petrol,1st Owner,Banglore,"₹ 4,44,500"
14,Volkswagen,Vento,1.5 TDI Highline,2013,"57,800 kms",Diesel,First Owner,Banglore,5.25 Lakh*
15,Audi,Q7,2006-2020 45 TDI Quattro Premium Plus,2016,"53,981 kms",Diesel,First Owner,Banglore,48 Lakh*
