,Brand,Model,Variant,Manufacturing_year,Driven_kilometers,Fuel,number_of_owners,location,Price
0,Maruti,Swift,ZDI BSIV,2017,"81,000 kms",Diesel,First Owner,chennai,6.25 Lakh*
1,Hyundai,EON,Era Plus Option,2016,"41,671 kms",Petrol,First Owner,chennai,3.33 Lakh*
2,Ford,EcoSport,1.5 Petrol Titanium Plus AT,2018,"40,000 kms",Petrol,First Owner,chennai,8.9 Lakh*
3,Honda,Mobilio,S i VTEC,2015,"24,500 kms",Petrol,First Owner,chennai,6.75 Lakh*
4,Nissan,Micra,XL,2017,"84,000 kms",Petrol,First Owner,chennai,4.15 Lakh*
5,Maruti,Baleno,Delta 1.2,2018,"13,980 kms",Petrol,First Owner,chennai,6.5 Lakh*
6,Skoda,Kodiaq,2.0 TDI Style,2018,"60,000 kms",Diesel,First Owner,chennai,28.9 Lakh*
7,Jaguar,XJ,3.0L,2011,"65,000 kms",Diesel,First Owner,chennai,25 Lakh*
8,Maruti,Ciaz,Sigma Diesel,2017,"46,000 kms",Diesel,First Owner,chennai,8.25 Lakh*
9,Maruti,Gypsy,W410 4X4,2008,"10,000 kms",Petrol,First Owner,chennai,4.5 Lakh*
10,Maruti,Ciaz,ZDi,2017,"89,568 kms",Diesel,First Owner,chennai,7.5 Lakh*
11,Toyota,Corolla,Altis G,2011,"69,775 kms",Petrol,Second Owner,chennai,4.8 Lakh*
12,Toyota,Platinum,Etios 1.4 GD,2019,"51,000 kms",Diesel,First Owner,chennai,7.55 Lakh*
13,Toyota,Innova,2.5 V Diesel 8-seater,2010,"1,70,000 kms",Diesel,First Owner,chennai,8.5 Lakh*
14,Honda,Brio,V MT,2013,"55,900 kms",Petrol,First Owner,chennai,3.9 Lakh*
15,Hyundai,Santro,Xing GL,2008,"70,000 kms",Petrol,First Owner,chennai,1.95 Lakh*
16,Hyundai,i10,Sportz,2013,"43,000 kms",Petrol,First Owner,chennai,3.75 Lakh*
17,Maruti,Vitara,Brezza VDi,2017,"83,000 kms",Diesel,First Owner,chennai,8.5 Lakh*
18,Maruti,Alto,K10 2010-2014 VXI,2013,"32,500 kms",Petrol,First Owner,chennai,3.5 Lakh*
19,Maruti,Omni,8 Seater BSIV,2013,"68,000 kms",Petrol,First Owner,chennai,2.5 Lakh*
20,Hyundai,Grand,i10 AT Asta,2016,"42,856 kms",Petrol,First Owner,chennai,5.2 Lakh*
21,Toyota,Innova,2.5 V Diesel 8-seater,2008,"2,30,000 kms",Diesel,Second Owner,chennai,6 Lakh*
22,Ford,Aspire,1.5 TDCi Titanium,2017,"34,950 kms",Diesel,First Owner,chennai,6.3 Lakh*
23,Maruti,Swift,VXI Glory Limited Edition,2015,"1,10,000 kms",Petrol,First Owner,chennai,4.77 Lakh*
24,Toyota,Innova,Crysta 2016-2020 2.8 ZX AT BSIV,2019,"12,000 kms",Diesel,First Owner,chennai,25 Lakh*
25,Hyundai,Verna,CRDi 1.6 SX Option,2019,"35,000 kms",Diesel,First Owner,chennai,12.9 Lakh*
26,Honda,BRV,i-VTEC VX MT,2016,"7,000 kms",Petrol,First Owner,chennai,7.5 Lakh*
27,Hyundai,Grand,i10 1.2 Kappa Asta,2013,"53,515 kms",Petrol,First Owner,chennai,3.75 Lakh*
28,Hyundai,Santro,L2,1999,"80,000 kms",Petrol,Third Owner,chennai,"55,000*"
29,Chevrolet,Aveo,U-VA 1.2 LS,2007,"90,000 kms",Petrol,Third Owner,chennai,1.8 Lakh*
30,Maruti,Eeco,7 Seater Standard BSIV,2012,"70,000 kms",Petrol,First Owner,chennai,2.1 Lakh*
31,Porsche,Macan,S Diesel,2016,"80,000 kms",Diesel,Second Owner,chennai,50 Lakh*
32,Mercedes-Benz,E-Class,E250 CDI Avantgrade,2014,"18,000 kms",Diesel,First Owner,chennai,27 Lakh*
33,Ford,Fiesta,1.4 Duratorq EXI,2014,"1,18,054 kms",Diesel,Second Owner,chennai,2.8 Lakh*
34,Ford,Figo,Diesel ZXI,2013,"72,000 kms",Diesel,First Owner,chennai,3.2 Lakh*
35,Audi,Q5,2.0 TDI,2012,"75,001 kms",Diesel,Second Owner,chennai,13.5 Lakh*
36,Hyundai,Verna,1.6 SX CRDI (O) AT,2012,"1,29,000 kms",Diesel,Second Owner,chennai,4.25 Lakh*
37,Toyota,Innova,2.5 GX (Diesel) 7 Seater,2016,"74,000 kms",Diesel,First Owner,chennai,13.9 Lakh*
38,Hyundai,Grand,i10 1.2 Kappa Magna BSIV,2018,"22,000 kms",Petrol,First Owner,chennai,5.4 Lakh*
39,Hyundai,Grand,i10 1.2 Kappa Magna BSIV,2018,"22,000 kms",Petrol,First Owner,chennai,5.4 Lakh*
40,Hyundai,Grand,i10 AT Asta,2016,"25,000 kms",Petrol,First Owner,chennai,5 Lakh*
41,Maruti,Swift,VDI,2012,"1,14,000 kms",Diesel,First Owner,chennai,4.25 Lakh*
42,Maruti,Ritz,VXI,2010,"15,000 kms",Petrol,First Owner,chennai,2.9 Lakh*
43,Maruti,Alto,K10 2010-2014 VXI,2011,"38,000 kms",Petrol,First Owner,chennai,2.65 Lakh*
44,Toyota,Camry,2.5 Hybrid,2015,"80,000 kms",Petrol,Second Owner,chennai,14.5 Lakh*
45,Maruti,Alto,LXi,2008,"73,953 kms",Petrol,First Owner,chennai,1.7 Lakh*
46,Hyundai,i10,Sportz,2014,"83,000 kms",Petrol,First Owner,chennai,3.75 Lakh*
47,Hyundai,Grand,i10 AT Asta,2015,"59,000 kms",Petrol,First Owner,chennai,4.5 Lakh*
48,Volkswagen,Ameo,1.5 TDI Highline Plus,2016,"61,600 kms",Diesel,First Owner,chennai,5.8 Lakh*
49,Honda,City,2017-2020 GXi,2008,"1,00,000 kms",Petrol,Second Owner,chennai,2.9 Lakh*
50,Hyundai,Xcent,1.1 CRDi SX Option,2014,"55,000 kms",Diesel,First Owner,chennai,5.5 Lakh*
51,Hyundai,i10,Magna 1.2 iTech SE,2011,"79,000 kms",Petrol,Second Owner,chennai,2.9 Lakh*
52,Maruti,Ciaz,Alpha BSIV,2019,"12,800 kms",Petrol,First Owner,chennai,8.75 Lakh*
53,Ford,Classic,1.4 Duratorq CLXI,2013,"1,50,000 kms",Diesel,First Owner,chennai,3 Lakh*
