,Brand,Model,Variant,Manufacturing_year,Driven_kilometers,Fuel,number_of_owners,location,Price
0,Hyundai,Santa,4WD AT,2012,"118,874 Kms",Diesel,2nd Owner,delhi,"₹ 4,45,500"
1,Hyundai,Verna,VTVT 1.6 SX,2019,"28,692 Kms",Petrol,1st Owner,delhi,"₹ 9,49,000"
2,Ford,Ecosport,1.5 Diesel Titanium,2016,"87,967 Kms",Diesel,1st Owner,delhi,"₹ 6,05,000"
3,Maruti,Swift,VDI BSIV,2017,"56,693 Kms",Diesel,1st Owner,delhi,"₹ 5,04,000"
4,Tata,Tiago,1.2 Revotron XZ,2019,"6,947 Kms",Petrol,1st Owner,delhi,"₹ 5,40,500"
5,Honda,Brio,S MT,2015,"29,411 Kms",Petrol,1st Owner,delhi,"₹ 3,43,500"
6,Volkswagen,Vento,Diesel Comfortline,2012,"75,505 Kms",Diesel,2nd Owner,delhi,"₹ 3,21,500"
7,Hyundai,i20,Sportz 1.2,2015,"34,232 Kms",Petrol,2nd Owner,delhi,"₹ 4,55,500"
8,Toyota,Corolla,G,2013,"79,333 Kms",Petrol,1st Owner,delhi,"₹ 4,76,500"
9,Maruti,Ciaz,VXi,2016,"75,968 Kms",Petrol,1st Owner,delhi,"₹ 5,74,500"
10,Maruti,Swift,VXI Optional,2017,"43,625 Kms",Petrol,1st Owner,delhi,"₹ 4,50,182"
11,Toyota,Etios,GD,2013,"80,471 Kms",Diesel,1st Owner,delhi,"₹ 3,05,500"
12,Renault,Duster,85PS Diesel RxL,2012,"57,263 Kms",Diesel,2nd Owner,delhi,"₹ 3,58,000"
13,Maruti,Celerio,Green VXI,2017,"83,775 Kms",CNG,1st Owner,delhi,"₹ 3,65,500"
14,Maruti,Swift,Dzire VDI,2012,"1,22,437 kms",Diesel,First Owner,delhi,3.11 Lakh*
15,BMW,X3,xDrive 20d Luxury Line,2018,"48,200 kms",Diesel,First Owner,delhi,47 Lakh*
16,BMW,3,Series GT Luxury Line,2016,"57,000 kms",Diesel,Third Owner,delhi,21.5 Lakh*
17,Mercedes-Benz,V-Class,Exclusive,2020,"15,000 kms",Diesel,First Owner,delhi,79.9 Lakh*
18,Porsche,Cayenne,Diesel,2015,"45,000 kms",Diesel,Second Owner,delhi,60 Lakh*
19,Honda,Amaze,2016-2021 S Petrol BSIV,2017,"61,000 kms",Petrol,First Owner,delhi,4.65 Lakh*
20,Honda,Amaze,2016-2021 V Petrol BSIV,2019,"35,000 kms",Petrol,First Owner,delhi,6.1 Lakh*
21,Honda,Amaze,2016-2021 V Diesel BSIV,2018,"70,000 kms",Diesel,First Owner,delhi,7.2 Lakh*
22,Mahindra,KUV,100 mFALCON G80 K8,2016,"44,500 kms",Petrol,First Owner,delhi,3.35 Lakh*
23,Mahindra,XUV500,W10 2WD,2016,"25,000 kms",Diesel,First Owner,delhi,10.32 Lakh*
24,Kia,Seltos,HTX Plus AT D,2020,"24,000 kms",Diesel,First Owner,delhi,17.86 Lakh*
25,Maruti,SX4,ZDI Leather,2012,"78,000 kms",Diesel,Second Owner,delhi,2.9 Lakh*
26,Maruti,Vitara,Brezza ZDi,2017,"69,000 kms",Diesel,Third Owner,delhi,6.5 Lakh*
27,Maruti,Ertiga,ZDI,2012,"80,000 kms",Diesel,First Owner,delhi,5 Lakh*
28,Mahindra,XUV500,W6 2WD,2014,"88,000 kms",Diesel,First Owner,delhi,6.5 Lakh*
29,Maruti,Alto,800 VXI,2017,"60,000 kms",Petrol,Second Owner,delhi,2.2 Lakh*
30,Renault,Triber,RXZ,2020,"6,500 kms",Petrol,First Owner,delhi,7.2 Lakh*
31,Honda,Civic,1.8 V MT,2011,"1,10,000 kms",Petrol,First Owner,delhi,3.05 Lakh*
32,Nissan,Terrano,XE 85 PS,2014,"1,20,000 kms",Diesel,First Owner,delhi,4.15 Lakh*
33,Volkswagen,Vento,Petrol Trendline,2011,"78,000 kms",Petrol,Third Owner,delhi,3 Lakh*
34,BMW,5,Series 520i,2012,"70,000 kms",Petrol,Third Owner,delhi,9.5 Lakh*
35,Honda,Amaze,S i-Vtech,2015,"70,000 kms",Petrol,First Owner,delhi,4 Lakh*
36,Maruti,Swift,Dzire LDI,2014,"60,000 kms",Diesel,Second Owner,delhi,4.25 Lakh*
37,Honda,Civic,1.8 S AT,2008,"80,000 kms",Petrol,Third Owner,delhi,2.15 Lakh*
38,Maruti,Eeco,5 STR With AC Plus HTR CNG,2016,"65,000 kms",CNG,First Owner,delhi,2.5 Lakh*
